row_id,cv_id,job_index,organization,position,startDate,endDate,status,department,seniority
0,0,0,Depot4Design GmbH,Prokurist,2019-08,,ACTIVE,Other,Management
1,0,1,Depot4Design GmbH,CFO,2019-07,,ACTIVE,Other,Management
2,0,2,Depot4Design GmbH,Betriebswirtin,2019-07,,ACTIVE,Other,Professional
3,0,3,Depot4Design GmbH,Prokuristin,2019-07,,ACTIVE,Other,Management
4,0,4,Depot4Design GmbH,CFO,2019-07,,ACTIVE,Other,Management
5,0,5,Nagel Car Group,Buchhalterin,2000-05,2019-06,INACTIVE,Other,Professional
6,1,0,Computer Solutions,Solutions Architect,2024-03,,ACTIVE,Information Technology,Professional
7,1,1,Computer Solutions,Senior Network Engineer,2019-07,2024-03,INACTIVE,Information Technology,Senior
8,1,2,Texas A&M University-Corpus Christi,Manager of Network Services,2017-02,2019-07,INACTIVE,Information Technology,Professional
9,1,3,Texas A&M University-Corpus Christi,Infrastructure Administrator II,2015-06,2017-02,INACTIVE,Information Technology,Professional
10,1,4,Texas A&M University at Qatar,Lead Network Engineer,2012-12,2015-06,INACTIVE,Information Technology,Lead
11,1,5,Texas A&M University at Qatar,Senior Systems Administrator,2010-02,2012-12,INACTIVE,Information Technology,Senior
12,1,6,Texas A&M Forest Service,Network Systems Administrator II,2006-04,2010-02,INACTIVE,Information Technology,Professional
13,1,7,MicroAge College Station,Support Specialist,2002-10,2006-04,INACTIVE,Customer Support,Professional
14,2,0,Udo Weber,Medizintechnik Beratung,2025-01,,ACTIVE,Consulting,Professional
15,2,1,Med 360°,Projektleiter Medizintechnik,2023-01,2024-12,INACTIVE,Project Management,Lead
16,2,2,Philips,Nationaler Account-Manager,1987-04,2022-12,INACTIVE,Sales,Professional
17,3,0,Grupo Viajes Kontiki.,Director expansión de negocio.,2024-09,,ACTIVE,Business Development,Director
18,3,1,Air & Ground Operations Consultancy,Gerente comercial,2024-04,,ACTIVE,Sales,Lead
19,3,2,Viajes Oceano S.L.,Administrador Unico,2010-12,,ACTIVE,Administrative,Professional
20,3,3,TDCS Travelport official partner,Gerente general comercial,2023-04,2024-05,INACTIVE,Sales,Lead
21,3,4,"Smyland, Logitravel group",Director Desarrollo de Negocio,2015-05,2023-04,INACTIVE,Business Development,Director
22,3,5,Confederación Española de Agencias de Viajes,Presidente,2011-11,2023-04,INACTIVE,Other,Director
23,3,6,Vik Hotel Group,Director Comercial Corporativo Agencias de Viajes España.,2010-12,2015-03,INACTIVE,Sales,Director
24,4,0,Himmelstalunds Utbildningscentrum,"APL-ansvarig, samordning",2019-08,,ACTIVE,Administrative,Lead
25,4,1,ABC Kraften,Utbildningsledare inom Servicekunskap och Försäljning,2018,2019-08,INACTIVE,Sales,Lead
26,4,2,Trind AB,"Marknadsförare, Verksamhetsplanerare",2016,2017,INACTIVE,Marketing,Professional
27,4,3,Telia Company,Customer Solution Consultant B2B,2012,2015,INACTIVE,Consulting,Professional
28,4,4,Telia Company,"Uppdragsledare, Lösningsrådgivare",2006,2012,INACTIVE,Consulting,Lead
29,4,5,TeliaSonera,Customer Sales Specialist B2B,2003,2006,INACTIVE,Sales,Professional
30,4,6,Telia Communications,Affärsutvecklare,1999,2003,INACTIVE,Business Development,Professional
31,4,7,Telia AB,Account Manager B2B,1995,1999,INACTIVE,Sales,Professional
32,5,0,FSD Fahrzeugsystemdaten GmbH,Kaufmännischer Leiter,2007-05,,ACTIVE,Sales,Lead
33,5,1,KPMG,Prüfungsleiter,1997-09,2007-05,INACTIVE,Other,Lead
34,6,0,MacDermid Enthone Industrial Solutions,Lab-Supervisor,2007,,ACTIVE,Other,Lead
35,7,0,Boise Cascade Company,Human Resources Generalist,2023-12,,ACTIVE,Human Resources,Professional
36,7,1,Boise Cascade Company,Shipping Supervisor,2021-06,2023-12,INACTIVE,Other,Lead
37,7,2,Boise Cascade Company,"Safety Coordinator, COSS",2017-12,2021-06,INACTIVE,Other,Lead
38,7,3,Pacific Drilling (NYSE: PACD),Floorhand,2016-10,2017-06,INACTIVE,Other,Professional
39,7,4,Pacific Drilling (NYSE: PACD),Roustabout,2015-03,2016-10,INACTIVE,Other,Professional
40,7,5,United States Air Force,Electrical Power Production Journeyman,2011-01,2014-07,INACTIVE,Information Technology,Professional
