row_id,cv_id,job_index,organization,position,startDate,endDate,status,department,seniority
0,0,0,"Keeping The Books, Bookkeeping",Bookkeeper,2023-03,,ACTIVE,,
1,0,1,Playful Paws,Co-Owner,2018-11,,ACTIVE,,
2,0,2,S&R services,Logistics Officer,2019-09,2024-04,INACTIVE,,
3,0,3,ABC Supply Co. Inc.,Truck driver/ laborer,2019-03,2019-09,INACTIVE,,
4,0,4,MB Railways,Fuel Driver,2018-03,2019-03,INACTIVE,,
5,0,5,Sysco,Food Delivery Driver,2017-10,2018-02,INACTIVE,,
6,0,6,UPS Freight,Regional driver,2016-10,2017-03,INACTIVE,,
7,0,7,Domino's Pizza,delivery/sales/MIT,2012-04,2012-06,INACTIVE,,
8,1,0,Erste Bank und Sparkasse,Strategy & Investments,2025-03,,ACTIVE,,
9,1,1,DO & CO AG,International Event Operations Manager,2022-11,2024-05,INACTIVE,,
10,1,2,WU (Vienna University of Economics and Business),Research Associate,2021-03,2022-04,INACTIVE,,
11,1,3,Baker McKenzie,Law Clerk,2021-05,2022-02,INACTIVE,,
12,1,4,Deloitte,Audit Junior,2021-02,2021-04,INACTIVE,,
13,1,5,Austrian Parliament,PR & Communication Consultant,2020-05,2021-01,INACTIVE,,
14,1,6,UniCredit Bank Austria AG,Regulatory Reporting Specialist,2017-06,2019-08,INACTIVE,,
15,1,7,Se2 Solutions Service & Security GmbH,Event Support,2016-11,2017-06,INACTIVE,,
16,1,8,DC Bank AG (Diners Club Austria & Germany),Customer Service Assistant,2016-02,2016-04,INACTIVE,,
17,1,9,Ludwig Boltzmann Institute for Experimental and Clinical Traumatology,Summer Research Intern,2014-07,2014-08,INACTIVE,,
18,1,10,The University of Glasgow,Summer Research Intern,2013-06,2013-08,INACTIVE,,
19,1,11,ESW Consulting Wruss Ziviltechnikergesellschaft mbH,Intern,2012-08,2012-08,INACTIVE,,
20,1,12,University of Graz,Summer Research Intern,2011-06,2011-07,INACTIVE,,
21,2,0,Guido Meyer,Corporate Auditor,2022-07,,ACTIVE,,
22,2,1,Guido Meyer,Corporate Auditor,2022-07,,ACTIVE,,
23,3,0,Advicing,Consultant,,,UNKNOWN,,
24,4,0,Tradeware AG,Marketing Manager,2020-07,,ACTIVE,,
25,4,1,Smartec Services AG,Marketing Manager,2019-01,2020-06,INACTIVE,,
26,4,2,The DocuCollege Ltd.,Geschäftsführerin,2004-01,2018-12,INACTIVE,,
