row_id,position,seniority,department
0,Prokurist,5.0,Other
1,CFO,6.0,Other
2,Betriebswirtin,2.0,Business Development
3,Prokuristin,5.0,Other
4,CFO,6.0,Other
5,Solutions Architect,3.0,Information Technology
6,Medizintechnik Beratung,2.0,Consulting
7,Director expansión de negocio.,6.0,Business Development
8,Gerente comercial,5.0,Sales
9,Administrador Unico,5.0,Administrative
10,"APL-ansvarig, samordning",2.0,Other
11,Kaufmännischer Leiter,5.0,Other
12,Lab-Supervisor,4.0,Other
13,Human Resources Generalist,2.0,Human Resources
14,Managing Director,6.0,Other
15,Set Lighting,1.0,Other
16,Set Lighting,1.0,Other
17,Set Lighting,1.0,Other
18,Set Lighting,1.0,Other
19,Set Lighting,1.0,Other
20,Projektmanager,2.0,Project Management
21,Leistungssachbearbeiter SGB II,2.0,Administrative
22,energy and sustainability consultant bei,2.0,Consulting
23,Purchasing Manager,5.0,Purchasing
24,Geschäftsführer,6.0,Other
25,Senior Project Manager,3.0,Project Management
26,Dr. phil.,1.0,Other
27,"Geschäftsführer, CMO",6.0,Marketing
28,Geschäftsführender Gesellschafter,6.0,Business Development
29,Bereichsleiter Maschinen,5.0,Other
30,Principal RF Design Engineer,3.0,Information Technology
31,Physician Assistant,2.0,Other
32,Co-Owner,5.0,Business Development
33,CEO,6.0,Other
34,CEO/Founder,6.0,Business Development
35,Qualifizierter Kreditsachbearbeiter im risikorelevanten Kreditgeschäft,2.0,Other
36,Director,6.0,Other
37,IT Systems and Network Engineer,2.0,Information Technology
38,IT-Teamleiter,4.0,Information Technology
39,Senior IT-Sicherheitsbeauftragter,3.0,Information Technology
40,IT-Systemadministrator,2.0,Information Technology
41,Senior Project Manager,3.0,Project Management
42,Head of HR/CHRO,6.0,Human Resources
43,Human Resources Consultant,2.0,Human Resources
44,Managing Director,6.0,Other
45,Product Manager,5.0,Project Management
46,Reporter,1.0,Other
47,Waiter & Bartender,1.0,Other
48,Geschäftsführer,5.0,Other
49,CEO / Managing Shareholder,6.0,Other
50,Member of the Advisory Board,5.0,Other
51,Member of the Advisory Board,5.0,Other
52,Geschäftsführer,5.0,Business Development
53,Director Sales,6.0,Sales
54,Sub-Stream Lead Simplify | Turnaround Programs,4.0,Project Management
55,Chief Revenue Officer (CRO),6.0,Sales
56,Business Development Manager,5.0,Business Development
57,Projektleiterin Bildung,4.0,Project Management
58,Co Owner,5.0,Business Development
59,"Practice Leader, Data Valorization Strategy",4.0,Consulting
60,iş güvenliği,1.0,Other
61,Geschäftsführer bei Giganet Services GmbH,5.0,Other
62,Owner,5.0,Business Development
63,Strategic Design Director,6.0,Marketing
64,Museumspädagoge,1.0,Other
65,Geschäftsführer,5.0,Business Development
66,Technical Team Lead,4.0,Information Technology
67,Managing Director,6.0,Other
68,Gesellschafter,1.0,Other
69,Maschinenbautechniker,1.0,Other
70,Technical Customer Service Manager - Flexible Packaging,5.0,Customer Support
71,Java Software Engineer,2.0,Information Technology
72,New Business Manager,5.0,Business Development
73,Strategic Engagement Manager,4.0,Business Development
74,Projektmanager,2.0,Project Management
75,Head of aws Preseed and Seedfinancing - Innovative Solutions,4.0,Business Development
76,Brand Ambassador,1.0,Marketing
77,Director of Product Management,6.0,Project Management
78,Executive Director of Therapies and Developmental Services,6.0,Other
79,Projektmanager,3.0,Project Management
80,Project Engineer Process Technology - Future Farming,2.0,Project Management
81,Kurucu Ortak,1.0,Other
82,Danışmanlık,2.0,Consulting
83,Digital Marketing Manager,5.0,Marketing
84,Eigenaar,5.0,Business Development
85,Theatermaker,1.0,Other
86,Trainer/coach,2.0,Human Resources
87,Trainingsacteur en trainer,2.0,Human Resources
88,Co trainer/trainingsacteur,1.0,Human Resources
89,Acteur en theatermaker,1.0,Other
90,Trainer/docent,2.0,Human Resources
91,"Freelance acteur, regisseur en scriptschrijver",2.0,Other
92,Procurement Manager Strategische Inkoop,5.0,Purchasing
93,Strategisch inkoper,2.0,Purchasing
94,Partner,5.0,Business Development
95,Lead Naval Architect,4.0,Other
96,Inside Sales,2.0,Sales
97,Key-Account-Manager,3.0,Sales
